"Date","Price","Open","High","Low","Vol.","Change %"
"01/26/2026","88,126.0","86,644.3","88,245.4","86,520.8","67.08K","1.71%"
"01/25/2026","86,642.0","89,254.7","89,298.8","86,092.1","48.59K","-2.93%"
"01/24/2026","89,254.9","89,576.8","89,901.9","89,142.1","16.96K","-0.36%"
"01/23/2026","89,580.6","89,529.5","91,185.7","88,587.5","49.44K","0.07%"
"01/22/2026","89,520.5","89,433.1","90,330.6","88,536.1","41.98K","0.10%"
"01/21/2026","89,433.8","88,400.0","90,498.2","87,285.1","73.67K","1.17%"
"01/20/2026","88,400.3","92,617.8","92,857.5","87,911.4","72.37K","-4.55%"
"01/19/2026","92,617.8","92,886.3","93,386.9","92,083.1","49.95K","-1.13%"
"01/18/2026","93,671.6","95,141.4","95,522.6","93,618.7","25.30K","-1.54%"
"01/17/2026","95,141.4","95,547.1","95,628.4","95,037.6","17.34K","-0.43%"
"01/16/2026","95,549.6","95,585.7","95,839.4","94,288.8","43.13K","-0.04%"
"01/15/2026","95,585.1","96,942.4","97,181.4","95,132.8","74.07K","-1.39%"
"01/14/2026","96,934.5","95,395.5","97,838.4","94,608.9","93.40K","1.61%"
"01/13/2026","95,395.5","91,271.9","96,033.3","91,021.4","84.97K","4.52%"
"01/12/2026","91,271.9","90,935.4","92,484.3","90,134.5","57.93K","0.37%"
"01/11/2026","90,935.4","90,485.1","91,246.6","90,304.0","21.01K","0.50%"
"01/10/2026","90,485.1","90,605.4","90,796.7","90,383.1","14.76K","-0.13%"
"01/09/2026","90,605.0","91,082.4","91,982.5","89,696.5","52.89K","-0.52%"
"01/08/2026","91,081.7","91,342.6","91,528.6","89,347.3","58.38K","-0.29%"
"01/07/2026","91,342.6","93,739.2","93,739.2","90,670.5","54.26K","-2.56%"
"01/06/2026","93,739.3","93,862.1","94,417.6","91,544.4","64.90K","-0.13%"
"01/05/2026","93,862.2","91,543.7","94,745.2","91,543.7","73.27K","2.53%"
"01/04/2026","91,545.4","90,621.9","91,757.9","90,621.9","38.27K","1.02%"
"01/03/2026","90,621.9","89,982.0","90,715.1","89,337.0","26.63K","0.71%"
"01/02/2026","89,982.7","88,812.2","90,913.5","88,392.0","62.70K","1.32%"
"01/01/2026","88,812.1","87,614.1","88,887.5","87,520.6","26.71K","1.37%"
"12/31/2025","87,612.7","88,469.5","89,119.3","87,245.6","45.91K","-0.97%"
"12/30/2025","88,469.6","87,217.8","89,365.6","86,828.9","49.16K","1.44%"
"12/29/2025","87,217.7","87,912.0","90,378.3","86,827.7","75.31K","-0.78%"
"12/28/2025","87,904.3","87,853.0","88,030.5","87,448.9","21.00K","0.06%"
"12/27/2025","87,850.8","87,357.6","87,935.1","87,252.0","19.68K","0.56%"
"12/26/2025","87,357.9","87,248.0","89,519.0","86,684.7","66.26K","0.12%"
