"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2026","187.67","187.50","189.60","186.82","142.75M","1.53%"
"01/22/2026","184.84","184.75","186.17","183.93","139.64M","0.83%"
"01/21/2026","183.32","179.05","185.38","178.40","200.38M","2.95%"
"01/20/2026","178.07","181.90","182.38","177.61","223.35M","-4.38%"
"01/16/2026","186.23","189.07","190.44","186.08","187.97M","-0.44%"
"01/15/2026","187.05","186.50","189.70","186.33","206.19M","2.13%"
"01/14/2026","183.14","184.32","184.46","180.80","159.59M","-1.44%"
"01/13/2026","185.81","184.99","188.11","183.40","160.13M","0.47%"
"01/12/2026","184.94","183.22","187.12","183.02","137.97M","0.04%"
"01/09/2026","184.86","185.08","186.34","183.67","131.33M","-0.10%"
"01/08/2026","185.04","189.11","189.55","183.71","172.46M","-2.15%"
"01/07/2026","189.11","188.57","191.37","186.56","153.54M","1.00%"
"01/06/2026","187.24","190.52","192.17","186.82","176.86M","-0.47%"
"01/05/2026","188.12","191.76","193.63","186.15","183.53M","-0.39%"
"01/02/2026","188.85","189.84","192.93","188.26","148.24M","1.26%"
"12/31/2025","186.50","189.57","190.56","186.49","120.10M","-0.55%"
"12/30/2025","187.54","188.24","188.99","186.93","97.69M","-0.36%"
"12/29/2025","188.22","187.71","188.76","185.91","120.01M","-1.21%"
"12/26/2025","190.53","189.92","192.69","188.00","139.74M","1.02%"
